CODIGO_REGIONAL;NOMBRE_REGIONAL;CODIGO_CENTRO;NOMBRE_CENTRO;FICHA;PROGRAMA;VERSION_PROGRAMA;TIPO_FORMACION;RESPUESTA;FECHA_INICIO;FECHA_FIN;ESTADO_FICHA;APRENDICES_ACTIVOS;PROGRAMADA;CODIGO_PROGRAMA_ESPECIAL;PROGRAMA_ESPECIAL;CODIGO_CONVENIO;AMPLIACION_DE_COBERTURA;CONVENIO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_NUMERO_DOCUMENTO;EMPRESA;TIPO_FICHA;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2975436;GENERACION DE IDEAS PARA UN NEGOCIO INNOVADOR;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-04-29 00:00:00.0;2024-05-04 00:00:00.0;Terminada por fecha;19;S;0;;8842;N;ACUERDO NO. 0003 DE 2023  POR EL CUAL SE CREA LA ESTRATEGIA CAMPE-SENA, EL PROGRAMA DE FORMACIÓN ESPECIALIZADA PARA LA ECONOMÍA CAMPESINA - FEEC, EN EL SERVICIO NACIONAL DE APRENDIZAJE;NIT;9001679693;ASOCIACION DE BARRIOS Y VEREDAS DE LOS MUNICIPIOS DEL DEPARTAMENTO DEL CAUCA - CONSTRUYENDO FUTURO;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2952442;GESTION DE PROYECTOS COMUNITARIOS;2;NO A LA MEDIDA;CURSO ESPECIAL;2024-04-06 00:00:00.0;2024-04-30 00:00:00.0;Terminada por fecha;20;S;2135;ATENCION A INSTITUCIONES;0;;;CC;9005845176;EMPRESAS PÚBLICAS DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE VILLA RICA;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2952448;GESTION DE PROYECTOS COMUNITARIOS;2;NO A LA MEDIDA;CURSO ESPECIAL;2024-04-04 00:00:00.0;2024-04-30 00:00:00.0;Terminada por fecha;26;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;900767392;ASOCIACIÓN DE JUNTAS DE ACCIÓN COMUNALDE CALOTO DEPARTAMENTO DEL CAUCA;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2940806;HABILITACION ELECTRICA PARA  VEHICULOS ELECTRICOS E HIBRIDOS;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-09 00:00:00.0;2024-03-23 00:00:00.0;Terminada;19;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2914429;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-15 00:00:00.0;2024-02-23 00:00:00.0;Terminada;14;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;8999990341;SERVICIO NACIONAL DE APRENDIZAJE - SENA;OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2917616;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-17 00:00:00.0;2024-02-23 00:00:00.0;Terminada;22;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2917639;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-02-24 00:00:00.0;2024-02-29 00:00:00.0;Terminada;19;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2932736;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-01 00:00:00.0;2024-03-08 00:00:00.0;Terminada;22;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2932748;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-09 00:00:00.0;2024-03-16 00:00:00.0;Terminada;16;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
19;REGIONAL CAUCA;9221;CENTRO DE TELEINFORMÁTICA Y PRODUCCIÓN INDUSTRIAL;2932754;HERRAMIENTAS AVANZADAS DE HOJA DE CALCULO;1;NO A LA MEDIDA;CURSO ESPECIAL;2024-03-18 00:00:00.0;2024-03-23 00:00:00.0;Terminada;17;S;2135;ATENCION A INSTITUCIONES;0;;;NIT;89999341;DEMANDA SOCIAL (SENA);OTRO;
